bin_left,bin_right,count
-0.001555,-0.001512,1
-0.001512,-0.001469,5
-0.001469,-0.001426,5
-0.001426,-0.001383,8
-0.001383,-0.001340,14
-0.001340,-0.001297,15
-0.001297,-0.001253,22
-0.001253,-0.001210,20
-0.001210,-0.001167,32
-0.001167,-0.001124,25
-0.001124,-0.001081,42
-0.001081,-0.001038,41
-0.001038,-0.000994,32
-0.000994,-0.000951,25
-0.000951,-0.000908,36
-0.000908,-0.000865,30
-0.000865,-0.000822,39
-0.000822,-0.000779,56
-0.000779,-0.000736,55
-0.000736,-0.000692,77
-0.000692,-0.000649,88
-0.000649,-0.000606,76
-0.000606,-0.000563,142
-0.000563,-0.000520,146
-0.000520,-0.000477,191
-0.000477,-0.000434,305
-0.000434,-0.000390,409
-0.000390,-0.000347,439
-0.000347,-0.000304,499
-0.000304,-0.000261,612
-0.000261,-0.000218,684
-0.000218,-0.000175,756
-0.000175,-0.000132,765
-0.000132,-0.000088,784
-0.000088,-0.000045,743
-0.000045,-0.000002,731
-0.000002,0.000041,689
0.000041,0.000084,640
0.000084,0.000127,608
0.000127,0.000170,605
0.000170,0.000214,589
0.000214,0.000257,599
0.000257,0.000300,597
0.000300,0.000343,560
0.000343,0.000386,551
0.000386,0.000429,516
0.000429,0.000472,452
0.000472,0.000516,399
0.000516,0.000559,321
0.000559,0.000602,255
0.000602,0.000645,183
0.000645,0.000688,139
0.000688,0.000731,88
0.000731,0.000774,58
0.000774,0.000818,38
0.000818,0.000861,22
0.000861,0.000904,9
0.000904,0.000947,6
0.000947,0.000990,1
0.000990,0.001033,1
