y,my,py,err
0.000000000000000000e+00,-9.918212890625000000e-05,2.389132195708126708e-04,-3.380953484770626979e-04
1.000000000000000000e+00,-4.119873046875000000e-04,-1.307658856628585349e-04,-2.812214190246414922e-04
2.000000000000000000e+00,-2.670288085937500000e-04,-7.878010092520466401e-05,-1.882487076685453360e-04
3.000000000000000000e+00,-2.975463867187500000e-04,2.480568853512393952e-05,-3.223520752538739124e-04
4.000000000000000000e+00,-2.822875976562500000e-04,-6.574221842443772504e-05,-2.165453792318122750e-04
5.000000000000000000e+00,-1.220703125000000000e-04,-7.329900413346649530e-06,-1.147404120866533505e-04
6.000000000000000000e+00,-9.918212890625000000e-05,7.781657818970932829e-05,-1.769987070959593283e-04
7.000000000000000000e+00,-7.629394531250000000e-06,1.701828133004462543e-04,-1.778122078316962543e-04
8.000000000000000000e+00,1.296997070312500000e-04,2.687851331955377248e-04,-1.390854261642877248e-04
9.000000000000000000e+00,1.068115234375000000e-04,2.321171395074486980e-04,-1.253056160699486980e-04
1.000000000000000000e+01,2.212524414062500000e-04,2.921821498904555591e-04,-7.092970848420555906e-05
1.100000000000000000e+01,3.509521484375000000e-04,3.983756324705586935e-04,-4.742348403305869349e-05
1.200000000000000000e+01,4.348754882812500000e-04,4.024283292086369441e-04,3.244715907261305592e-05
1.300000000000000000e+01,4.348754882812500000e-04,3.382713908687833178e-04,9.660409741246668222e-05
1.400000000000000000e+01,5.645751953125000000e-04,3.606882963129473909e-04,2.038868989995526091e-04
1.500000000000000000e+01,5.722045898437500000e-04,2.945913342665526687e-04,2.776132555771973313e-04
1.600000000000000000e+01,6.103515625000000000e-04,2.696984534161450350e-04,3.406531090838549650e-04
1.700000000000000000e+01,5.264282226562500000e-04,2.504873940484177316e-04,2.759408286078322684e-04
1.800000000000000000e+01,4.577636718750000000e-04,1.394797691616212463e-04,3.182839027133787537e-04
1.900000000000000000e+01,4.119873046875000000e-04,8.760694852090082163e-05,3.243803561665991784e-04
2.000000000000000000e+01,1.907348632812500000e-04,5.366356495490234965e-05,1.370712983263476503e-04
2.100000000000000000e+01,9.918212890625000000e-05,-6.675342577238868916e-05,1.659355546786386892e-04
2.200000000000000000e+01,3.814697265625000000e-05,-3.291133640740794963e-04,3.672603367303294963e-04
2.300000000000000000e+01,-3.814697265625000000e-05,-3.888891225354461009e-04,3.507421498791961009e-04
2.400000000000000000e+01,-1.678466796875000000e-04,-5.343883551834069986e-04,3.665416754959069986e-04
2.500000000000000000e+01,-3.280639648437500000e-04,-6.091778347292178472e-04,2.811138698854678472e-04
2.600000000000000000e+01,-5.569458007812500000e-04,-7.391803034311684095e-04,1.822345026499184095e-04
2.700000000000000000e+01,-8.087158203125000000e-04,-8.808506619137531626e-04,7.213484160125316260e-05
2.800000000000000000e+01,-9.307861328125000000e-04,-9.545720638837481122e-04,2.378593107124811219e-05
2.900000000000000000e+01,-1.213073730468750000e-03,-1.184016596782956144e-03,-2.905713368579385635e-05
3.000000000000000000e+01,-1.289367675781250000e-03,-1.337418488800255203e-03,4.805081301900520317e-05
3.100000000000000000e+01,-1.373291015625000000e-03,-1.409885569080638777e-03,3.659455345563877686e-05
3.200000000000000000e+01,-1.502990722656250000e-03,-1.421290948219665513e-03,-8.169977443658448663e-05
3.300000000000000000e+01,-1.480102539062500000e-03,-1.456171168191461871e-03,-2.393137087103812920e-05
3.400000000000000000e+01,-1.380920410156250000e-03,-1.454800644463658888e-03,7.388023430740888776e-05
3.500000000000000000e+01,-1.441955566406250000e-03,-1.443308389516652574e-03,1.352823110402573761e-06
3.600000000000000000e+01,-1.419067382812500000e-03,-1.435121453715948415e-03,1.605407090344841518e-05
3.700000000000000000e+01,-1.289367675781250000e-03,-1.364033761097317504e-03,7.466608531606750386e-05
3.800000000000000000e+01,-1.197814941406250000e-03,-1.403579063204597440e-03,2.057641217983474397e-04
3.900000000000000000e+01,-1.167297363281250000e-03,-1.348721398674387114e-03,1.814240353931371140e-04
4.000000000000000000e+01,-1.243591308593750000e-03,-1.539200609338726294e-03,2.956093007449762944e-04
4.100000000000000000e+01,-1.213073730468750000e-03,-1.516161261171080016e-03,3.030875307023300162e-04
4.200000000000000000e+01,-1.258850097656250000e-03,-1.589537821462895561e-03,3.306877238066455605e-04
4.300000000000000000e+01,-1.296997070312500000e-03,-1.528696094312321152e-03,2.316990239998211517e-04
4.400000000000000000e+01,-1.251220703125000000e-03,-1.545605984616610709e-03,2.943852814916107091e-04
4.500000000000000000e+01,-1.373291015625000000e-03,-1.519206284713625231e-03,1.459152690886252306e-04
4.600000000000000000e+01,-1.419067382812500000e-03,-1.546462078579456710e-03,1.273946957669567105e-04
4.700000000000000000e+01,-1.426696777343750000e-03,-1.574375400880603272e-03,1.476786235368532721e-04
4.800000000000000000e+01,-1.350402832031250000e-03,-1.605783477020785886e-03,2.553806449895358859e-04
4.900000000000000000e+01,-1.228332519531250000e-03,-1.660710448694037358e-03,4.323779291627873576e-04
5.000000000000000000e+01,-1.342773437500000000e-03,-1.663415520065163579e-03,3.206420825651635793e-04
5.100000000000000000e+01,-1.449584960937500000e-03,-1.747953408758454825e-03,2.983684478209548251e-04
5.200000000000000000e+01,-1.419067382812500000e-03,-1.818252488439836339e-03,3.991851056273363393e-04
5.300000000000000000e+01,-1.373291015625000000e-03,-1.794951970992888666e-03,4.216609553678886662e-04
5.400000000000000000e+01,-1.258850097656250000e-03,-1.713103429425413306e-03,4.542533317691633057e-04
5.500000000000000000e+01,-9.994506835937500000e-04,-1.532711107078541749e-03,5.332604234847917492e-04
5.600000000000000000e+01,-8.697509765625000000e-04,-1.398932555974794932e-03,5.291815794122949317e-04
5.700000000000000000e+01,-9.155273437500000000e-04,-1.364416136856383020e-03,4.488887931063830199e-04
5.800000000000000000e+01,-8.773803710937500000e-04,-1.348362515536862200e-03,4.709821444431121999e-04
5.900000000000000000e+01,-8.773803710937500000e-04,-1.342627290785496042e-03,4.652469196917460425e-04
6.000000000000000000e+01,-8.163452148437500000e-04,-1.451782079617770912e-03,6.354368647740209122e-04
6.100000000000000000e+01,-1.060485839843750000e-03,-1.599509591765838198e-03,5.390237519220881981e-04
6.200000000000000000e+01,-9.460449218750000000e-04,-1.400738736469560146e-03,4.546938145945601459e-04
6.300000000000000000e+01,-8.468627929687500000e-04,-1.229949235227880289e-03,3.830864422591302894e-04
6.400000000000000000e+01,-5.645751953125000000e-04,-1.060928148564073848e-03,4.963529532515738481e-04
6.500000000000000000e+01,-4.196166992187500000e-04,-1.014074788970748984e-03,5.944580897519989842e-04
6.600000000000000000e+01,-2.441406250000000000e-04,-9.135360001096942120e-04,6.693953751096942120e-04
6.700000000000000000e+01,-2.670288085937500000e-04,-8.875601658608372373e-04,6.205313572670872373e-04
6.800000000000000000e+01,-2.212524414062500000e-04,-8.504827460219496803e-04,6.292303046156996803e-04
6.900000000000000000e+01,-2.441406250000000000e-04,-9.155754366970948960e-04,6.714348116970948960e-04
7.000000000000000000e+01,-3.662109375000000000e-04,-9.279513154015047111e-04,5.617403779015047111e-04
7.100000000000000000e+01,-5.722045898437500000e-04,-9.054220735250426274e-04,3.332174836812926274e-04
7.200000000000000000e+01,-5.645751953125000000e-04,-8.228365423576352233e-04,2.582613470451352233e-04
7.300000000000000000e+01,-4.501342773437500000e-04,-6.574344168773096171e-04,2.073001395335596171e-04
7.400000000000000000e+01,-3.890991210937500000e-04,-5.376027589971311841e-04,1.485036379033811841e-04
7.500000000000000000e+01,-1.907348632812500000e-04,-4.539759762948504269e-04,2.632411130136004269e-04
7.600000000000000000e+01,-1.754760742187500000e-04,-3.520359185406603079e-04,1.765598443219103079e-04
7.700000000000000000e+01,6.103515625000000000e-05,-2.505370370856552968e-04,3.115721933356552968e-04
7.800000000000000000e+01,4.119873046875000000e-04,-8.183491518295858040e-06,4.201707962057958309e-04
7.900000000000000000e+01,6.713867187500000000e-04,2.916978733952561246e-04,3.796888453547438754e-04
8.000000000000000000e+01,9.994506835937500000e-04,5.657777012266131805e-04,4.336729823671368195e-04
8.100000000000000000e+01,1.159667968750000000e-03,7.652901631475528266e-04,3.943778056024471734e-04
8.200000000000000000e+01,1.365661621093750000e-03,8.380750603055668298e-04,5.275865607881831702e-04
8.300000000000000000e+01,1.495361328125000000e-03,1.041162307950882233e-03,4.541990201741177673e-04
8.400000000000000000e+01,1.518249511718750000e-03,1.187420391767800938e-03,3.308291199509490622e-04
8.500000000000000000e+01,1.541137695312500000e-03,1.297349891449853980e-03,2.437878038626460197e-04
8.600000000000000000e+01,1.640319824218750000e-03,1.483247371139639025e-03,1.570724530791109755e-04
8.700000000000000000e+01,1.808166503906250000e-03,1.499263336227866974e-03,3.089031676783830262e-04
8.800000000000000000e+01,1.861572265625000000e-03,1.570654224336907661e-03,2.909180412880923387e-04
8.900000000000000000e+01,2.082824707031250000e-03,1.635364113426372289e-03,4.474605936048777106e-04
9.000000000000000000e+01,2.105712890625000000e-03,1.593588103898387238e-03,5.121247867266127615e-04
9.100000000000000000e+01,2.166748046875000000e-03,1.657563525453286052e-03,5.091845214217139478e-04
9.200000000000000000e+01,2.273559570312500000e-03,1.730578430413589946e-03,5.429811398989100538e-04
9.300000000000000000e+01,2.227783203125000000e-03,1.788181891011626475e-03,4.396013121133735251e-04
9.400000000000000000e+01,2.273559570312500000e-03,1.879183793015050960e-03,3.943757772974490396e-04
9.500000000000000000e+01,2.189636230468750000e-03,1.849980182902472882e-03,3.396560475662771181e-04
9.600000000000000000e+01,2.059936523437500000e-03,1.843433414586785482e-03,2.165031088507145176e-04
9.700000000000000000e+01,2.021789550781250000e-03,1.842468396321317011e-03,1.793211544599329892e-04
9.800000000000000000e+01,2.136230468750000000e-03,1.869931493378209622e-03,2.662989753717903783e-04
9.900000000000000000e+01,2.204895019531250000e-03,1.934903852079942164e-03,2.699911674513078355e-04
1.000000000000000000e+02,2.471923828125000000e-03,2.228161143437711565e-03,2.437626846872884348e-04
1.010000000000000000e+02,2.632141113281250000e-03,2.379465124499739390e-03,2.526759887815106104e-04
1.020000000000000000e+02,2.731323242187500000e-03,2.593103346814982363e-03,1.382198953725176371e-04
1.030000000000000000e+02,2.822875976562500000e-03,2.638736499541531871e-03,1.841394770209681293e-04
1.040000000000000000e+02,2.761840820312500000e-03,2.588414037924691418e-03,1.734267823878085819e-04
1.050000000000000000e+02,2.593994140625000000e-03,2.564065146815663714e-03,2.992899380933628645e-05
1.060000000000000000e+02,2.609252929687500000e-03,2.496197090485241608e-03,1.130558392022583923e-04
1.070000000000000000e+02,2.388000488281250000e-03,2.598813425384853375e-03,-2.108129371036033747e-04
1.080000000000000000e+02,2.204895019531250000e-03,2.514172517018636952e-03,-3.092774974873869522e-04
1.090000000000000000e+02,2.143859863281250000e-03,2.425551677693534285e-03,-2.816918144122842853e-04
1.100000000000000000e+02,2.143859863281250000e-03,2.416336112060821825e-03,-2.724762487795718245e-04
1.110000000000000000e+02,2.288818359375000000e-03,2.528220732130962486e-03,-2.394023727559624858e-04
1.120000000000000000e+02,2.388000488281250000e-03,2.703365739446693655e-03,-3.153652511654436545e-04
1.130000000000000000e+02,2.555847167968750000e-03,2.808097594274139297e-03,-2.522504263053892970e-04
1.140000000000000000e+02,2.746582031250000000e-03,2.928420727001642635e-03,-1.818386957516426351e-04
1.150000000000000000e+02,2.685546875000000000e-03,2.980897037818309395e-03,-2.953501628183093954e-04
1.160000000000000000e+02,2.716064453125000000e-03,2.901361794549086985e-03,-1.852973414240869851e-04
1.170000000000000000e+02,2.746582031250000000e-03,2.890900899358301874e-03,-1.443188681083018739e-04
1.180000000000000000e+02,2.578735351562500000e-03,2.808579080799805065e-03,-2.298437292373050646e-04
1.190000000000000000e+02,2.548217773437500000e-03,2.661215047635737130e-03,-1.129972741982371298e-04
1.200000000000000000e+02,2.426147460937500000e-03,2.603144760424213559e-03,-1.769972994867135586e-04
1.210000000000000000e+02,2.273559570312500000e-03,2.525131796912282595e-03,-2.515722265997825946e-04
1.220000000000000000e+02,2.143859863281250000e-03,2.383668626326846968e-03,-2.398087630455969683e-04
1.230000000000000000e+02,1.945495605468750000e-03,2.239987094358062304e-03,-2.944914888893123035e-04
1.240000000000000000e+02,1.541137695312500000e-03,1.894288214912851235e-03,-3.531505196003512353e-04
1.250000000000000000e+02,1.007080078125000000e-03,1.628300013144132544e-03,-6.212199350191325437e-04
1.260000000000000000e+02,7.019042968750000000e-04,1.202280838506546547e-03,-5.003765416315465470e-04
1.270000000000000000e+02,3.051757812500000000e-04,2.389132195708126708e-04,6.626256167918732919e-05
