platform,point_id,target_fps,processed_fps,active_power_w,idle_power_w,full_chip_power_w,incremental_power_w,full_chip_energy_per_frame_mj,incremental_energy_per_frame_mj,bubble_size_w,meets_180_fps,energy_basis,notes
CPU i7-13700,CPU i7-13700 30 FPS,30,29.830736775953163,13.82669854262003,9.282411092174893,13.82669854262003,4.544287450445136,463.50509698995637,152.33574298132416,13.82669854262003,No,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 45 FPS,45,44.735586218094696,15.660491704105565,9.302209626034765,15.660491704105565,6.3582820780708005,350.06787723217974,142.13029526589722,15.660491704105565,No,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 60 FPS,60,59.76943577531186,18.31792958231661,9.33462651835226,18.31792958231661,8.983303063964348,306.4765351170162,150.29927834244265,18.31792958231661,No,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 90 FPS,90,89.4811840577775,22.87975548622505,9.338267358016422,22.87975548622505,13.541488128208629,255.69348156425514,151.33335874796836,22.87975548622505,No,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 120 FPS,120,119.08306499490274,26.91723345447601,9.281708530768611,26.91723345447601,17.635524923707397,226.03745927792656,148.09431487560616,26.91723345447601,No,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 180 FPS,180,178.12462937748202,32.382119617727334,9.869783562014101,32.382119617727334,22.512336055713234,181.7947340067335,126.38530749167231,32.382119617727334,No,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 240 FPS,240,236.88783308557606,34.67221488303874,9.389193998220641,34.67221488303874,25.2830208848181,146.36553693542103,106.72992595480652,34.67221488303874,Yes,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 320 FPS,320,314.5957023079812,37.05851754357409,9.37028604787717,37.05851754357409,27.688231495696918,117.79727844881602,88.01210980495482,37.05851754357409,Yes,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
CPU i7-13700,CPU i7-13700 400 FPS,400,391.4008148062583,39.21021470810987,9.327791001898063,39.21021470810987,29.88242370621181,100.17918518518863,76.34737224807128,39.21021470810987,Yes,full-chip and incremental,CPU Intel RAPL package power; staged 10s settle + 10s measure; no latency exported.
